publisher_id,publisher_name
1,"Thomas & Mercer"
2,"Maple Press"
3,"Captain Sourabh"
4,"Bloody Good Book"
5,"Adriana Locke"
6,"Jaico Publishing House"
7,"Mick Bose"
8,"John Ellsworth"
9,"Purple Herb Publishing"
10,"Cobble Publishing"
11,Creativia
12,"Bonnie Doon Press"
13,"Cedar Books"
14,Bloomsbury
15,"K.F. Breene"
16,"Duncan M. Hamilton"
17,"Dark Rover Publishing"
18,"Amrita Rao"
19,"Skyhorse Publishing"
20,"Win Blevins"
21,"Severed Press"
22,"John Dreese"
23,"Divyansh Mundra"
24,"Erik Carter"
25,"Ravi Venkataraman"
26,"Adrit Saxena"
27,"C. G. Cooper"
28,"Rupa Publications"
29,"Fernando Gamboa"
30,"Enclave Publishing"
31,"Bloodhound Books"
32,"Blake Banner"
33,"Jordan Marie"
34,"Kindle Press"
35,"George Ilian"
36,"Hourly History"
37,"Virgin Digital"
38," Ryan Gardner"
39,"Prabhat Books"
40,Sphere
41,"Benjamin Southerland"
42,"Virgin Books"
43,"Om Books International"
44,"Gregory Watson"
45,"Stephen Croke"
46,"Make Profits Easy"
47,"Entrepreneur Publishing "
48,"Tony Rohn"
49,"Arunraj V S"
50,"Steve Bailey"
51,"Famous Billionaire Collection"
52,"Joy Lincoln"
53,"Calvintir Books"
54,"Roy Brandon"
55,"Jamie Cooper"
56,"Wilco van Rooijen"
57,Dhirubhai
58,"Ivan Fernandez"
59,"Steve Walters"
60,"Wyatt North Publishing"
61,"W.S. Winfield"
62,"Laureate Journal Literature Fraternity"
63,"Peter Jennings"
64,"Adam West"
65,"University Press"
66,"Captivating History"
67,"Mode ON Publishing"
68,"Marion Kummerow"
69,"Amit Ahlawat"
70,"Kelvin Dorsey"
71,"Adhyyan Publications"
72,"Spice Catalyst Media"
73,"Clare Whitmell"
74,"New Familiar"
75,"Rajesh Sharma"
76,"M Pattabiraman"
77,"Ken McDonald"
78,"Kevin Bradnik"
79,"Prasenjit Paul "
80,"Andrew Aziz"
81,"Tony Donavan"
82,"Andrii Sedniev"
83,"Dr. Aruna Polisetty"
84,"Simplicity Marketing LLC"
85,"Mark Schaefer"
86,"Amazon Publishing"
87,"Kolenda Entertainment"
88,"Network Marketing Kingdom"
89,"David J Green"
90,"Stan Miller"
91,"Robert Moore"
92,"J. D. Maxim"
93,"Entrepreneurship Facts"
